timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687956489,1905,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,1681,0,394
1666687957818,699,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,17520,119,10,10,null,0,2,205
1666687957820,699,HTTP Request,200,OK,Thread Group 1-9,text,true,,17520,119,10,10,https://www.google.com/,693,0,205
1666687957866,700,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,17503,119,10,10,null,0,1,207
1666687957867,700,HTTP Request,200,OK,Thread Group 1-10,text,true,,17503,119,10,10,https://www.google.com/,689,0,207
1666687957822,762,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,17431,119,10,10,null,0,1,218
1666687957823,762,HTTP Request,200,OK,Thread Group 1-5,text,true,,17431,119,10,10,https://www.google.com/,750,0,218
1666687957849,745,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,17457,119,10,10,null,0,1,209
1666687957850,745,HTTP Request,200,OK,Thread Group 1-7,text,true,,17457,119,10,10,https://www.google.com/,733,0,209
1666687956186,2416,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,342172,284,10,10,null,0,1,62
1666687956187,2416,HTTP Request,200,OK,Thread Group 1-6,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,113,0,62
1666687956187,113,HTTP Request-0,301,TLS Redirect,Thread Group 1-6,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,113,0,62
1666687956300,2303,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,2029,0,583
1666687958520,172,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,342172,284,10,10,null,0,1,0
1666687958520,172,HTTP Request,200,OK,Thread Group 1-9,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687958520,50,HTTP Request-0,301,TLS Redirect,Thread Group 1-9,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687958570,122,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687958568,178,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,342172,284,10,10,null,0,1,0
1666687958568,178,HTTP Request,200,OK,Thread Group 1-10,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,52,0,0
1666687958568,52,HTTP Request-0,301,TLS Redirect,Thread Group 1-10,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,52,0,0
1666687958620,126,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,52,0,0
